fips	state	year	president	vice	party	votes	votespc	ev	split
29	Missouri	2004	John Kerry	John Edwards	Democratic	"1,259,171"	46.10%	0	-0.072
29	Missouri	2004	George W. Bush	Richard Cheney	Republican	"1,455,713"	53.30%	11	-9.9999
30	Montana	2004	John Kerry	John Edwards	Democratic	"173,710"	38.56%	0	-0.2051
30	Montana	2004	George W. Bush	Richard Cheney	Republican	"266,063"	59.07%	3	-9.9999
31	Nebraska	2004	John Kerry	John Edwards	Democratic	"254,328"	32.68%	0	-0.3322
31	Nebraska	2004	George W. Bush	Richard Cheney	Republican	"512,814"	65.90%	5	-9.9999
32	Nevada	2004	John Kerry	John Edwards	Democratic	"397,190"	47.88%	0	-0.0259
32	Nevada	2004	George W. Bush	Richard Cheney	Republican	"418,690"	50.47%	5	-9.9999
33	New Hampshire	2004	John Kerry	John Edwards	Democratic	"340,511"	50.24%	4	0.0137
33	New Hampshire	2004	George W. Bush	Richard Cheney	Republican	"331,237"	48.87%	0	-9.9999
34	New Jersey	2004	John Kerry	John Edwards	Democratic	"1,911,430"	52.92%	15	0.0669
34	New Jersey	2004	George W. Bush	Richard Cheney	Republican	"1,670,003"	46.23%	0	-9.9999
35	New Mexico	2004	John Kerry	John Edwards	Democratic	"370,942"	49.05%	0	-0.0079
35	New Mexico	2004	George W. Bush	Richard Cheney	Republican	"376,930"	49.84%	5	-9.9999
36	New York	2004	John Kerry	John Edwards	Democratic	"4,314,280"	58.36%	31	0.1828
36	New York	2004	George W. Bush	Richard Cheney	Republican	"2,962,567"	40.08%	0	-9.9999
37	North Carolina	2004	John Kerry	John Edwards	Democratic	"1,525,849"	43.58%	0	-0.1244
37	North Carolina	2004	George W. Bush	Richard Cheney	Republican	"1,961,166"	56.02%	15	-9.9999
38	North Dakota	2004	John Kerry	John Edwards	Democratic	"111,052"	35.50%	0	-0.2736
38	North Dakota	2004	George W. Bush	Richard Cheney	Republican	"196,651"	62.86%	3	-9.9999
39	Ohio	2004	John Kerry	John Edwards	Democratic	"2,741,167"	48.71%	0	-0.021
39	Ohio	2004	George W. Bush	Richard Cheney	Republican	"2,859,768"	50.81%	20	-9.9999
40	Oklahoma	2004	John Kerry	John Edwards	Democratic	"503,966"	34.43%	0	-0.3114
40	Oklahoma	2004	George W. Bush	Richard Cheney	Republican	"959,792"	65.57%	7	-9.9999
41	Oregon	2004	John Kerry	John Edwards	Democratic	"943,163"	51.35%	7	0.0416
41	Oregon	2004	George W. Bush	Richard Cheney	Republican	"866,831"	47.19%	0	-9.9999
42	Pennsylvania	2004	John Kerry	John Edwards	Democratic	"2,938,095"	50.92%	21	0.025
42	Pennsylvania	2004	George W. Bush	Richard Cheney	Republican	"2,793,847"	48.42%	0	-9.9999
44	Rhode Island	2004	John Kerry	John Edwards	Democratic	"259,760"	59.42%	4	0.2075
44	Rhode Island	2004	George W. Bush	Richard Cheney	Republican	"169,046"	38.67%	0	-9.9999
45	South Carolina	2004	John Kerry	John Edwards	Democratic	"661,699"	40.90%	0	-0.1708
45	South Carolina	2004	George W. Bush	Richard Cheney	Republican	"937,974"	57.98%	8	-9.9999
46	South Dakota	2004	John Kerry	John Edwards	Democratic	"149,244"	38.44%	0	-0.2147
46	South Dakota	2004	George W. Bush	Richard Cheney	Republican	"232,584"	59.91%	3	-9.9999
47	Tennessee	2004	John Kerry	John Edwards	Democratic	"1,035,160"	42.51%	0	-0.143
47	Tennessee	2004	George W. Bush	Richard Cheney	Republican	"1,383,336"	56.81%	11	-9.9999
48	Texas	2004	John Kerry	John Edwards	Democratic	"2,832,704"	38.22%	0	-0.2287
48	Texas	2004	George W. Bush	Richard Cheney	Republican	"4,526,917"	61.09%	34	-9.9999
49	Utah	2004	John Kerry	John Edwards	Democratic	"241,199"	26.00%	0	-0.4554
49	Utah	2004	George W. Bush	Richard Cheney	Republican	"663,742"	71.54%	5	-9.9999
50	Vermont	2004	John Kerry	John Edwards	Democratic	"184,067"	58.94%	3	0.2014
50	Vermont	2004	George W. Bush	Richard Cheney	Republican	"121,180"	38.80%	0	-9.9999
51	Virginia	2004	John Kerry	John Edwards	Democratic	"1,454,742"	45.48%	0	-0.082
51	Virginia	2004	George W. Bush	Richard Cheney	Republican	"1,716,959"	53.68%	13	-9.9999
53	Washington	2004	John Kerry	John Edwards	Democratic	"1,510,201"	52.77%	11	0.0717
53	Washington	2004	George W. Bush	Richard Cheney	Republican	"1,304,894"	45.60%	0	-9.9999
54	West Virginia	2004	John Kerry	John Edwards	Democratic	"326,541"	43.20%	0	-0.1286
54	West Virginia	2004	George W. Bush	Richard Cheney	Republican	"423,778"	56.06%	5	-9.9999
55	Wisconsin	2004	John Kerry	John Edwards	Democratic	"1,489,504"	49.70%	10	0.0038
55	Wisconsin	2004	George W. Bush	Richard Cheney	Republican	"1,478,120"	49.32%	0	-9.9999
56	Wyoming	2004	John Kerry	John Edwards	Democratic	"70,776"	29.07%	0	-0.3979
56	Wyoming	2004	George W. Bush	Richard Cheney	Republican	"167,629"	68.86%	3	-9.9999
1	Alabama	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"695,602"	41.59%	0	-0.1488
1	Alabama	2000	George W. Bush	Richard Cheney	Republican	"944,409"	56.47%	9	-9.9999
2	Alaska	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"79,004"	27.67%	0	-0.3095
2	Alaska	2000	George W. Bush	Richard Cheney	Republican	"167,398"	58.62%	3	-9.9999
4	Arizona	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"685,341"	44.67%	0	-0.0628
4	Arizona	2000	George W. Bush	Richard Cheney	Republican	"781,652"	50.95%	8	-9.9999
5	Arkansas	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"422,768"	45.86%	0	-0.0545
5	Arkansas	2000	George W. Bush	Richard Cheney	Republican	"472,940"	51.31%	6	-9.9999
6	California	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"5,861,203"	53.45%	54	0.118
6	California	2000	George W. Bush	Richard Cheney	Republican	"4,567,429"	41.65%	0	-9.9999
8	Colorado	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"738,227"	42.39%	0	-0.0836
8	Colorado	2000	George W. Bush	Richard Cheney	Republican	"883,745"	50.75%	8	-9.9999
9	Connecticut	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"816,015"	55.91%	8	0.1747
9	Connecticut	2000	George W. Bush	Richard Cheney	Republican	"561,094"	38.44%	0	-9.9999
10	Delaware	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"180,068"	54.96%	3	0.1306
10	Delaware	2000	George W. Bush	Richard Cheney	Republican	"137,288"	41.90%	0	-9.9999
11	District of Columbia	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"171,923"	85.16%	2	0.7621
11	District of Columbia	2000	George W. Bush	Richard Cheney	Republican	"18,073"	8.95%	0	-9.9999
12	Florida	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"2,912,253"	48.84%	0	-0.0001
12	Florida	2000	George W. Bush	Richard Cheney	Republican	"2,912,790"	48.85%	25	-9.9999
13	Georgia	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"1,116,230"	42.98%	0	-0.1169
13	Georgia	2000	George W. Bush	Richard Cheney	Republican	"1,419,720"	54.67%	13	-9.9999
15	Hawaii	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"205,286"	55.79%	4	0.1833
15	Hawaii	2000	George W. Bush	Richard Cheney	Republican	"137,845"	37.46%	0	-9.9999
16	Idaho	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"138,637"	27.64%	0	-0.3953
16	Idaho	2000	George W. Bush	Richard Cheney	Republican	"336,937"	67.17%	4	-9.9999
17	Illinois	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"2,589,026"	54.60%	22	0.1202
17	Illinois	2000	George W. Bush	Richard Cheney	Republican	"2,019,421"	42.58%	0	-9.9999
18	Indiana	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"901,980"	41.01%	0	-0.1564
18	Indiana	2000	George W. Bush	Richard Cheney	Republican	"1,245,836"	56.65%	12	-9.9999
19	Iowa	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"638,517"	48.54%	7	0.0032
19	Iowa	2000	George W. Bush	Richard Cheney	Republican	"634,373"	48.22%	0	-9.9999
20	Kansas	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"399,276"	37.24%	0	-0.208
20	Kansas	2000	George W. Bush	Richard Cheney	Republican	"622,332"	58.04%	6	-9.9999
21	Kentucky	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"638,898"	41.37%	0	-0.1513
21	Kentucky	2000	George W. Bush	Richard Cheney	Republican	"872,492"	56.50%	8	-9.9999
22	Louisiana	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"792,344"	44.88%	0	-0.0767
22	Louisiana	2000	George W. Bush	Richard Cheney	Republican	"927,871"	52.55%	9	-9.9999
23	Maine	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"319,951"	49.09%	4	0.0512
23	Maine	2000	George W. Bush	Richard Cheney	Republican	"286,616"	43.97%	0	-9.9999
24	Maryland	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"1,145,782"	56.57%	10	0.1639
24	Maryland	2000	George W. Bush	Richard Cheney	Republican	"813,797"	40.18%	0	-9.9999
25	Massachusetts	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"1,616,487"	59.80%	12	0.273
25	Massachusetts	2000	George W. Bush	Richard Cheney	Republican	"878,502"	32.50%	0	-9.9999
26	Michigan	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"2,170,418"	51.28%	18	0.0514
26	Michigan	2000	George W. Bush	Richard Cheney	Republican	"1,953,139"	46.14%	0	-9.9999
27	Minnesota	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"1,168,266"	47.91%	10	0.0241
27	Minnesota	2000	George W. Bush	Richard Cheney	Republican	"1,109,659"	45.50%	0	-9.9999
28	Mississippi	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"404,964"	40.70%	0	-0.1692
28	Mississippi	2000	George W. Bush	Richard Cheney	Republican	"573,230"	57.62%	7	-9.9999
29	Missouri	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"1,111,138"	47.08%	0	-0.0334
29	Missouri	2000	George W. Bush	Richard Cheney	Republican	"1,189,924"	50.42%	11	-9.9999
30	Montana	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"137,126"	33.36%	0	-0.2508
30	Montana	2000	George W. Bush	Richard Cheney	Republican	"240,178"	58.44%	3	-9.9999
31	Nebraska	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"231,780"	33.25%	0	-0.29
31	Nebraska	2000	George W. Bush	Richard Cheney	Republican	"433,862"	62.25%	5	-9.9999
32	Nevada	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"279,978"	45.98%	0	-0.0354
32	Nevada	2000	George W. Bush	Richard Cheney	Republican	"301,575"	49.52%	4	-9.9999
33	New Hampshire	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"266,348"	46.80%	0	-0.0127
33	New Hampshire	2000	George W. Bush	Richard Cheney	Republican	"273,559"	48.07%	4	-9.9999
34	New Jersey	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"1,788,850"	56.13%	15	0.1584
34	New Jersey	2000	George W. Bush	Richard Cheney	Republican	"1,284,173"	40.29%	0	-9.9999
35	New Mexico	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"286,783"	47.91%	5	0.0006
35	New Mexico	2000	George W. Bush	Richard Cheney	Republican	"286,417"	47.85%	0	-9.9999
36	New York	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"4,113,791"	60.22%	33	0.25
36	New York	2000	George W. Bush	Richard Cheney	Republican	"2,405,676"	35.22%	0	-9.9999
37	North Carolina	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"1,257,692"	43.20%	0	-0.1283
37	North Carolina	2000	George W. Bush	Richard Cheney	Republican	"1,631,163"	56.03%	14	-9.9999
38	North Dakota	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"95,284"	33.05%	0	-0.2761
38	North Dakota	2000	George W. Bush	Richard Cheney	Republican	"174,852"	60.66%	3	-9.9999
39	Ohio	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"2,186,190"	46.46%	0	-0.0351
39	Ohio	2000	George W. Bush	Richard Cheney	Republican	"2,351,209"	49.97%	21	-9.9999
40	Oklahoma	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"474,276"	38.43%	0	-0.2188
40	Oklahoma	2000	George W. Bush	Richard Cheney	Republican	"744,337"	60.31%	8	-9.9999
41	Oregon	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"720,342"	46.96%	7	0.0044
41	Oregon	2000	George W. Bush	Richard Cheney	Republican	"713,577"	46.52%	0	-9.9999
42	Pennsylvania	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"2,485,967"	50.60%	23	0.0417
42	Pennsylvania	2000	George W. Bush	Richard Cheney	Republican	"2,281,127"	46.43%	0	-9.9999
44	Rhode Island	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"249,508"	60.99%	4	0.2908
44	Rhode Island	2000	George W. Bush	Richard Cheney	Republican	"130,555"	31.91%	0	-9.9999
45	South Carolina	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"566,039"	40.91%	0	-0.1592
45	South Carolina	2000	George W. Bush	Richard Cheney	Republican	"786,426"	56.83%	8	-9.9999
46	South Dakota	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"118,804"	37.56%	0	-0.2274
46	South Dakota	2000	George W. Bush	Richard Cheney	Republican	"190,700"	60.30%	3	-9.9999
47	Tennessee	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"981,720"	47.28%	0	-0.0387
47	Tennessee	2000	George W. Bush	Richard Cheney	Republican	"1,061,949"	51.15%	11	-9.9999
48	Texas	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"2,433,746"	37.98%	0	-0.2132
48	Texas	2000	George W. Bush	Richard Cheney	Republican	"3,799,639"	59.30%	32	-9.9999
49	Utah	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"203,053"	26.34%	0	-0.4049
49	Utah	2000	George W. Bush	Richard Cheney	Republican	"515,096"	66.83%	5	-9.9999
50	Vermont	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"149,022"	50.63%	3	0.0993
50	Vermont	2000	George W. Bush	Richard Cheney	Republican	"119,775"	40.70%	0	-9.9999
51	Virginia	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"1,217,290"	44.44%	0	-0.0803
51	Virginia	2000	George W. Bush	Richard Cheney	Republican	"1,437,490"	52.47%	13	-9.9999
53	Washington	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"1,247,652"	50.13%	11	0.0557
53	Washington	2000	George W. Bush	Richard Cheney	Republican	"1,108,864"	44.56%	0	-9.9999
54	West Virginia	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"295,497"	45.59%	0	-0.0633
54	West Virginia	2000	George W. Bush	Richard Cheney	Republican	"336,475"	51.92%	5	-9.9999
55	Wisconsin	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"1,242,987"	47.83%	11	0.0022
55	Wisconsin	2000	George W. Bush	Richard Cheney	Republican	"1,237,279"	47.61%	0	-9.9999
56	Wyoming	2000	Albert Gore Jr.	Joseph Lieberman	Democratic	"60,481"	27.70%	0	-0.4006
56	Wyoming	2000	George W. Bush	Richard Cheney	Republican	"147,947"	67.76%	3	-9.9999
1	Alabama	1996	William Clinton	Albert Gore Jr.	Democratic	"662,165"	43.16%	0	-0.0696
1	Alabama	1996	Robert Dole	Jack Kemp	Republican	"769,044"	50.12%	9	-9.9999
2	Alaska	1996	William Clinton	Albert Gore Jr.	Democratic	"80,380"	33.27%	0	-0.1753
2	Alaska	1996	Robert Dole	Jack Kemp	Republican	"122,746"	50.80%	3	-9.9999
4	Arizona	1996	William Clinton	Albert Gore Jr.	Democratic	"653,288"	46.52%	8	0.0223
4	Arizona	1996	Robert Dole	Jack Kemp	Republican	"622,073"	44.29%	0	-9.9999
5	Arkansas	1996	William Clinton	Albert Gore Jr.	Democratic	"475,171"	53.74%	6	0.1694
5	Arkansas	1996	Robert Dole	Jack Kemp	Republican	"325,416"	36.80%	0	-9.9999
6	California	1996	William Clinton	Albert Gore Jr.	Democratic	"5,119,835"	51.10%	54	0.1289
6	California	1996	Robert Dole	Jack Kemp	Republican	"3,828,380"	38.21%	0	-9.9999
8	Colorado	1996	William Clinton	Albert Gore Jr.	Democratic	"671,152"	44.43%	0	-0.0137
8	Colorado	1996	Robert Dole	Jack Kemp	Republican	"691,848"	45.80%	8	-9.9999
9	Connecticut	1996	William Clinton	Albert Gore Jr.	Democratic	"735,740"	52.83%	8	0.1814
9	Connecticut	1996	Robert Dole	Jack Kemp	Republican	"483,109"	34.69%	0	-9.9999
10	Delaware	1996	William Clinton	Albert Gore Jr.	Democratic	"140,355"	51.78%	3	0.1524
10	Delaware	1996	Robert Dole	Jack Kemp	Republican	"99,062"	36.54%	0	-9.9999
11	District of Columbia	1996	William Clinton	Albert Gore Jr.	Democratic	"158,220"	85.19%	3	0.7585
11	District of Columbia	1996	Robert Dole	Jack Kemp	Republican	"17,339"	9.34%	0	-9.9999
12	Florida	1996	William Clinton	Albert Gore Jr.	Democratic	"2,546,870"	48.02%	25	0.057
12	Florida	1996	Robert Dole	Jack Kemp	Republican	"2,244,536"	42.32%	0	-9.9999
13	Georgia	1996	William Clinton	Albert Gore Jr.	Democratic	"1,053,849"	45.84%	0	-0.0117
13	Georgia	1996	Robert Dole	Jack Kemp	Republican	"1,080,843"	47.01%	13	-9.9999
15	Hawaii	1996	William Clinton	Albert Gore Jr.	Democratic	"205,012"	56.93%	4	0.2529
15	Hawaii	1996	Robert Dole	Jack Kemp	Republican	"113,943"	31.64%	0	-9.9999
16	Idaho	1996	William Clinton	Albert Gore Jr.	Democratic	"165,443"	33.65%	0	-0.1853
16	Idaho	1996	Robert Dole	Jack Kemp	Republican	"256,595"	52.18%	4	-9.9999
17	Illinois	1996	William Clinton	Albert Gore Jr.	Democratic	"2,341,744"	54.32%	22	0.1751
17	Illinois	1996	Robert Dole	Jack Kemp	Republican	"1,587,021"	36.81%	0	-9.9999
18	Indiana	1996	William Clinton	Albert Gore Jr.	Democratic	"887,424"	41.55%	0	-0.0558
18	Indiana	1996	Robert Dole	Jack Kemp	Republican	"1,006,693"	47.13%	12	-9.9999
19	Iowa	1996	William Clinton	Albert Gore Jr.	Democratic	"620,258"	50.26%	7	0.1034
19	Iowa	1996	Robert Dole	Jack Kemp	Republican	"492,644"	39.92%	0	-9.9999
20	Kansas	1996	William Clinton	Albert Gore Jr.	Democratic	"387,659"	36.08%	0	-0.1821
20	Kansas	1996	Robert Dole	Jack Kemp	Republican	"583,245"	54.29%	6	-9.9999
21	Kentucky	1996	William Clinton	Albert Gore Jr.	Democratic	"636,614"	45.84%	8	0.0096
21	Kentucky	1996	Robert Dole	Jack Kemp	Republican	"623,283"	44.88%	0	-9.9999
22	Louisiana	1996	William Clinton	Albert Gore Jr.	Democratic	"927,837"	52.01%	9	0.1207
22	Louisiana	1996	Robert Dole	Jack Kemp	Republican	"712,586"	39.94%	0	-9.9999
23	Maine	1996	William Clinton	Albert Gore Jr.	Democratic	"312,788"	51.62%	4	0.0667
23	Maine	1996	Robert Dole	Jack Kemp	Republican	"272,348"	44.95%	0	-9.9999
24	Maryland	1996	William Clinton	Albert Gore Jr.	Democratic	"966,207"	54.25%	10	0.1598
24	Maryland	1996	Robert Dole	Jack Kemp	Republican	"681,530"	38.27%	0	-9.9999
25	Massachusetts	1996	William Clinton	Albert Gore Jr.	Democratic	"1,571,763"	61.47%	12	0.3338
25	Massachusetts	1996	Robert Dole	Jack Kemp	Republican	"718,107"	28.09%	0	-9.9999
26	Michigan	1996	William Clinton	Albert Gore Jr.	Democratic	"1,989,653"	51.69%	18	0.1321
26	Michigan	1996	Robert Dole	Jack Kemp	Republican	"1,481,212"	38.48%	0	-9.9999
27	Minnesota	1996	William Clinton	Albert Gore Jr.	Democratic	"1,120,438"	51.10%	10	0.1614
27	Minnesota	1996	Robert Dole	Jack Kemp	Republican	"766,476"	34.96%	0	-9.9999
28	Mississippi	1996	William Clinton	Albert Gore Jr.	Democratic	"394,022"	44.08%	0	-0.0513
28	Mississippi	1996	Robert Dole	Jack Kemp	Republican	"439,838"	49.21%	7	-9.9999
29	Missouri	1996	William Clinton	Albert Gore Jr.	Democratic	"1,025,935"	47.54%	11	0.063
29	Missouri	1996	Robert Dole	Jack Kemp	Republican	"890,016"	41.24%	0	-9.9999
30	Montana	1996	William Clinton	Albert Gore Jr.	Democratic	"167,922"	41.23%	0	-0.0288
30	Montana	1996	Robert Dole	Jack Kemp	Republican	"179,652"	44.11%	3	-9.9999
31	Nebraska	1996	William Clinton	Albert Gore Jr.	Democratic	"236,761"	34.95%	0	-0.187
31	Nebraska	1996	Robert Dole	Jack Kemp	Republican	"363,467"	53.65%	5	-9.9999
32	Nevada	1996	William Clinton	Albert Gore Jr.	Democratic	"203,974"	43.93%	4	0.0102
32	Nevada	1996	Robert Dole	Jack Kemp	Republican	"199,244"	42.91%	0	-9.9999
33	New Hampshire	1996	William Clinton	Albert Gore Jr.	Democratic	"246,214"	49.32%	4	0.0995
33	New Hampshire	1996	Robert Dole	Jack Kemp	Republican	"196,532"	39.37%	0	-9.9999
34	New Jersey	1996	William Clinton	Albert Gore Jr.	Democratic	"1,652,329"	53.72%	15	0.1786
34	New Jersey	1996	Robert Dole	Jack Kemp	Republican	"1,103,078"	35.86%	0	-9.9999
35	New Mexico	1996	William Clinton	Albert Gore Jr.	Democratic	"273,495"	49.18%	5	0.0732
35	New Mexico	1996	Robert Dole	Jack Kemp	Republican	"232,751"	41.86%	0	-9.9999
36	New York	1996	William Clinton	Albert Gore Jr.	Democratic	"3,756,177"	59.47%	33	0.2886
36	New York	1996	Robert Dole	Jack Kemp	Republican	"1,933,492"	30.61%	0	-9.9999
37	North Carolina	1996	William Clinton	Albert Gore Jr.	Democratic	"1,107,849"	44.04%	0	-0.0469
37	North Carolina	1996	Robert Dole	Jack Kemp	Republican	"1,225,938"	48.73%	14	-9.9999
38	North Dakota	1996	William Clinton	Albert Gore Jr.	Democratic	"106,905"	40.13%	0	-0.0681
38	North Dakota	1996	Robert Dole	Jack Kemp	Republican	"125,050"	46.94%	3	-9.9999
39	Ohio	1996	William Clinton	Albert Gore Jr.	Democratic	"2,148,222"	47.38%	21	0.0636
39	Ohio	1996	Robert Dole	Jack Kemp	Republican	"1,859,883"	41.02%	0	-9.9999
40	Oklahoma	1996	William Clinton	Albert Gore Jr.	Democratic	"488,105"	40.45%	0	-0.0781
40	Oklahoma	1996	Robert Dole	Jack Kemp	Republican	"582,315"	48.26%	8	-9.9999
41	Oregon	1996	William Clinton	Albert Gore Jr.	Democratic	"649,641"	47.15%	7	0.0809
41	Oregon	1996	Robert Dole	Jack Kemp	Republican	"538,152"	39.06%	0	-9.9999
42	Pennsylvania	1996	William Clinton	Albert Gore Jr.	Democratic	"2,215,819"	49.17%	23	0.092
42	Pennsylvania	1996	Robert Dole	Jack Kemp	Republican	"1,801,169"	39.97%	0	-9.9999
44	Rhode Island	1996	William Clinton	Albert Gore Jr.	Democratic	"233,050"	59.71%	4	0.3289
44	Rhode Island	1996	Robert Dole	Jack Kemp	Republican	"104,683"	26.82%	0	-9.9999
45	South Carolina	1996	William Clinton	Albert Gore Jr.	Democratic	"504,051"	43.85%	0	-0.0604
45	South Carolina	1996	Robert Dole	Jack Kemp	Republican	"573,458"	49.89%	8	-9.9999
46	South Dakota	1996	William Clinton	Albert Gore Jr.	Democratic	"139,333"	43.03%	0	-0.0346
46	South Dakota	1996	Robert Dole	Jack Kemp	Republican	"150,543"	46.49%	3	-9.9999
47	Tennessee	1996	William Clinton	Albert Gore Jr.	Democratic	"909,146"	48.00%	11	0.0241
47	Tennessee	1996	Robert Dole	Jack Kemp	Republican	"863,530"	45.59%	0	-9.9999
48	Texas	1996	William Clinton	Albert Gore Jr.	Democratic	"2,459,683"	43.83%	0	-0.0493
48	Texas	1996	Robert Dole	Jack Kemp	Republican	"2,736,167"	48.76%	32	-9.9999
49	Utah	1996	William Clinton	Albert Gore Jr.	Democratic	"221,633"	33.30%	0	-0.3105
49	Utah	1996	Robert Dole	Jack Kemp	Republican	"362,372"	64.35%	5	-9.9999
50	Vermont	1996	William Clinton	Albert Gore Jr.	Democratic	"137,894"	53.35%	3	0.2226
50	Vermont	1996	Robert Dole	Jack Kemp	Republican	"80,352"	31.09%	0	-9.9999
51	Virginia	1996	William Clinton	Albert Gore Jr.	Democratic	"1,091,060"	45.15%	0	-0.0195
51	Virginia	1996	Robert Dole	Jack Kemp	Republican	"1,138,350"	47.10%	13	-9.9999
53	Washington	1996	William Clinton	Albert Gore Jr.	Democratic	"1,123,323"	49.84%	11	0.1254
53	Washington	1996	Robert Dole	Jack Kemp	Republican	"840,712"	37.30%	0	-9.9999
54	West Virginia	1996	William Clinton	Albert Gore Jr.	Democratic	"327,812"	51.51%	5	0.1475
54	West Virginia	1996	Robert Dole	Jack Kemp	Republican	"233,946"	36.76%	0	-9.9999
55	Wisconsin	1996	William Clinton	Albert Gore Jr.	Democratic	"1,071,971"	48.81%	11	0.1033
55	Wisconsin	1996	Robert Dole	Jack Kemp	Republican	"845,029"	38.48%	0	-9.9999
56	Wyoming	1996	William Clinton	Albert Gore Jr.	Democratic	"77,934"	36.84%	0	-0.1297
56	Wyoming	1996	Robert Dole	Jack Kemp	Republican	"105,388"	49.81%	3	-9.9999
1	Alabama	1992	William Clinton	Albert Gore Jr.	Democratic	"690,080"	40.88%	0	-0.0677
1	Alabama	1992	George Bush	J. Danforth Quayle	Republican	"804,283"	47.65%	9	-9.9999
2	Alaska	1992	William Clinton	Albert Gore Jr.	Democratic	"78,294"	30.29%	0	-0.0917
2	Alaska	1992	George Bush	J. Danforth Quayle	Republican	"102,000"	39.46%	3	-9.9999
4	Arizona	1992	William Clinton	Albert Gore Jr.	Democratic	"543,050"	36.52%	0	-0.0195
4	Arizona	1992	George Bush	J. Danforth Quayle	Republican	"572,086"	38.47%	8	-9.9999
5	Arkansas	1992	William Clinton	Albert Gore Jr.	Democratic	"505,823"	53.21%	6	0.1773
5	Arkansas	1992	George Bush	J. Danforth Quayle	Republican	"337,324"	35.48%	0	-9.9999
6	California	1992	William Clinton	Albert Gore Jr.	Democratic	"5,121,325"	46.01%	54	0.134
6	California	1992	George Bush	J. Danforth Quayle	Republican	"3,630,574"	32.61%	0	-9.9999
8	Colorado	1992	William Clinton	Albert Gore Jr.	Democratic	"629,681"	40.13%	8	0.0426
8	Colorado	1992	George Bush	J. Danforth Quayle	Republican	"562,850"	35.87%	0	-9.9999
9	Connecticut	1992	William Clinton	Albert Gore Jr.	Democratic	"682,318"	42.21%	8	0.0643
9	Connecticut	1992	George Bush	J. Danforth Quayle	Republican	"578,313"	35.78%	0	-9.9999
10	Delaware	1992	William Clinton	Albert Gore Jr.	Democratic	"126,054"	43.51%	3	0.082
10	Delaware	1992	George Bush	J. Danforth Quayle	Republican	"102,313"	35.31%	0	-9.9999
11	District of Columbia	1992	William Clinton	Albert Gore Jr.	Democratic	"192,619"	84.64%	3	0.7554
11	District of Columbia	1992	George Bush	J. Danforth Quayle	Republican	"20,698"	9.10%	0	-9.9999
12	Florida	1992	William Clinton	Albert Gore Jr.	Democratic	"2,072,698"	39.00%	0	-0.0189
12	Florida	1992	George Bush	J. Danforth Quayle	Republican	"2,173,310"	40.89%	25	-9.9999
